Facility Name,City,County,State,Major/Non-Major Status,Facility Latitude,Facility Longitude,SIC Description,Watershed Name,Total Pounds (lb/yr),Load Over Limit,Total TWPE (lb-eq/yr),TWPE Over Limit,Avg Concentration (mg/L),Max Concentration (mg/L),Average Flow (MGD),Percent People of Color (3 mi),Percent Low Income (3 mi),FRS Spatially Derived Tribe,Population Density
CF &AMP; I STEEL L P/ DBA ROCKY MOUNTAIN STEEL MILLS,PUEBLO,PUEBLO,CO,Major,38.232627,-104.607257,BLAST FURN/STEEL WORKS/ROLLING,Salt Creek-Arkansas River,292.6582061,0,324.8506087,0,0.00375,0.005,36.27142857,57.22,51.56,,1686.1
MULBERRY WWTP,FORT COLLINS,LARIMER,CO,Major,40.582452,-105.064681,SEWERAGE SYSTEMS,City of Fort Collins-Cache La Poudre River,44.25343272,0,49.12131032,0,0.00425,0.012,2.407142857,24.34,38.88,,2823.5
TELLURIDE REGIONAL WWTF,TELLURIDE,SAN MIGUEL,CO,Major,37.948611,-107.873333,SEWERAGE SYSTEMS,Headwaters San Miguel River,39.42991729,0,43.76720819,0,0.009035714,0.0965,0.920857143,24.03,32.38,,101.24
SAN JUAN (FORMERLY VISTA) WTP,PAGOSA SPRINGS,ARCHULETA,CO,Major,37.25525,-107.10243,SEWERAGE SYSTEMS,Peterson Gulch-Stollheimer Creek,37.44077337,0,41.55925844,0,0.005,0.01,1.079,16.69,22.46,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado - 2.8 mile(s), Jicarilla Apache Nation, New Mexico - 17.6 mile(s)",180.44
GUNNISON WWTP,GUNNISON,GUNNISON,CO,Major,38.515811,-106.995525,SEWERAGE SYSTEMS,Steers Gulch-Gunnison River,16.75425463,0,18.59722264,0,0.004407143,0.0317,1.176857143,18.8,29.25,,39.89
SNOWMASS WATER AND SAN DIST,SNOWMASS VILLAGE,PITKIN,CO,Major,39.2225,-106.925278,SEWERAGE SYSTEMS,Brush Creek-Roaring Fork River,11.34946603,0,12.59790729,0,0.008371429,0.0286,0.734285714,21.71,6.09,,111.25
FORT MORGAN FACILITY,MORGAN COUNTY,MORGAN,CO,Major,40.261221,-103.809929,BEET SUGAR,Cris Lee Draw-South Platte River,10.34160259,0,11.47917887,0,0.005071429,0.033,0.188571429,61.16,43.84,,520.68
BOXELDER SAN DIST WWTF,FORT COLLINS,LARIMER,CO,Major,40.55711,-105.00158,SEWERAGE SYSTEMS,Lower Boxelder Creek,9.91446649,0,11.0050578,0,0.001075,0.0043,2.215,25.05,20.1,,1010.24
SUNCOR ENERGY - DENVER REFINERY,COMMERCE CITY,ADAMS,CO,Major,39.80488,-104.94298,PETROLEUM REFINING,Sand Creek,9.584364888,0,10.63864503,0,0.001214286,0.007,0.699464286,72.73,38.75,,1929.65
HOLCIM (US) INC. PORTLAND PLANT,FLORENCE,FREMONT COUNTY,CO,Non-Major,38.386367,-105.017688,"CEMENT, HYDRAULIC",Willow Spring Creek-Arkansas River,7.15434152,0,7.941319087,0,0.003147619,0.0076,0.26747619,12.74,27.27,,54.24
REGIONAL WWTF,ALAMOSA,ALAMOSA,CO,Major,37.460941,-105.857243,SEWERAGE SYSTEMS,Hansen Bluff-Rio Grande,6.805329839,0.231298965,7.553916122,0.231298965,0.0015625,0.005,0.7415,63.54,46.59,,388.14
UPPER FRASER VALLEY TREATMENT PLANT,FRASER,GRAND,CO,Major,39.962222,-105.815556,SEWERAGE SYSTEMS,Middle Fraser River,4.089121722,0,4.538925111,0,0.002614286,0.0033,0.771428571,23.51,29.91,,114.66
REVENUE MINE,OURAY,OURAY,CO,Non-Major,37.975262,-107.751941,SILVER ORES,Canyon Creek,3.608277215,0.392825998,4.005187708,0.392825998,0.001335714,0.0097,0.4465,3.74,22.99,,2.6
E & W PORTALS OF MOFFAT TUNNEL,UNK,GILPIN,CO,Non-Major,39.90366,-105.63935,"RAILROADS, LINE HAUL OPERATING",Headwaters South Boulder Creek,2.535978463,0,2.814936094,0,0.004771429,0.017,0.26,10.84,23.02,,0.3
ROADSIDE NORTH & SOUTH MINES,PALISADE,MESA,CO,Non-Major,39.12614,-108.32293,"BITUMINOUS COAL & LIG, SURFACE",Watson Creek-Colorado River,0.860353867,0,0.954992792,0,0.00140625,0.0088,0.0790625,22.82,30.41,,134.68
KODAK COLORADO DIV,WINDSOR,WELD,CO,Major,40.4652,-104.87035,PHOTOGRAPHIC EQUIP & SUPPLIES,Windsor Reservoir,0.84269997,0,0.935396967,0,0.006,0.006,0.551857143,16.15,12.29,,462.21
LOCKHEED MARTIN - WATERTON PLANT USAF PJ,LITTLETON,JEFFERSON,CO,Major,39.496342,-105.107588,GUIDED MISSILES & SPACE VEHICL,Chatfield Reservoir,0.809143056,0,0.898148792,0,0.009666667,0.024,0.041685714,19.52,6.63,,353.85
WIGGINS WTF,WIGGINS,MORGAN,CO,Non-Major,40.394611,-104.132139,WATER SUPPLY,1.02E+11,0.145405233,0,0.161399809,0,0.002535714,0.005,0.027594857,20.3,36.84,,4.74
LYONS CEMENT PLANT,LONGMONT,BOULDER,CO,Non-Major,40.202,-105.236,"CEMENT, HYDRAULIC",Indian Mountain-Saint Vrain Creek,0.025009313,0,0.027760337,0,0.003742857,0.0077,0.001601429,7.96,11.15,,111.89
"SALIDA, CITY OF WWTP",SALIDA,CHAFFEE,CO,Major,38.514585,-105.973243,SEWERAGE SYSTEMS,Maverick Gulch-Arkansas River,0.001801515,0,0.001999682,0,0.00000345,0.0000069,0.646928571,19.95,35.55,,211.37
LARIMER ENERGY FACILITY,FORT COLLINS,LARIMER,CO,Non-Major,40.49682,-105.11552,REFUSE SYSTEMS,Fossil Creek-Reservoir-Cache La Poudre River,9.59E-05,0,0.000106455,0,0.00000447,0.0000114,0.002591667,20.51,15.91,,947.28
AIRGAS DENVER ASU,DENVER,DENVER,CO,Non-Major,39.671913,-104.998281,INDUSTRIAL GASES,1.02E+11,0,0,0,0,0,0,0,44.07,26.8,,4999.41
WOODMEN HILLS METRO DIST WWTF,PEYTON,EL PASO,CO,Major,38.969888,-104.597155,SEWERAGE SYSTEMS,Falcon,0,0,0,0,0,0,0.939375,24.09,12.24,,509.38
"WINDSOR, THE TOWN OF",WINDSOR,WELD,CO,Major,40.43915,-104.873353,SEWERAGE SYSTEMS,1.02E+11,0,0,0,0,0,0,1.9815,16.4,12.06,,304.49
LA JUNTA CITY OF,LA JUNTA,OTERO,CO,Major,37.98596,-103.53114,SEWERAGE SYSTEMS,King Arroyo,0,0,0,0,0,0,1.020190476,55.33,44.39,,272.44
STEAMBOAT SPRINGS WWTP,STEAMBOAT SPRINGS,ROUTT,CO,Major,40.48561,-106.84335,SEWERAGE SYSTEMS,Cow Creek-Yampa River,0,0,0,0,0,0,3.748458333,18.75,20.61,,339.18
COPPER MOUNTAIN CONSOLIDATED METRO DISTRICT,COPPER MOUNTAIN,SUMMIT,CO,Major,39.507767,-106.142274,SEWERAGE SYSTEMS,West Tenmile Creek,0,0,0,0,0,0,0.22575,13.32,21.75,,13.32
