ANALYTIC_METHOD,ANALYTIC_METHOD_DESC,DIGESTION_METHOD,ANALYTIC_METHOD_COUNT,AM_PUB_ID
AA_CV,Mercury by cold-vapor atomic absorption spectrometry after multi-acid digestion and solution,multi-acid,1104,Brown_2002_1
AA_CV_AR,Mercury by cold-vapor atomic absorption spectrometry after digestion with aqua regia and solution,aqua regia,99,AGAT_2017_04
AA_CV_WO,Mercury by cold-vapor atomic absorption spectrometry after acid digestion and wet oxidation,acid,516,Huffman_1976
AA_F_Acid_P,Antimony by flame atomic absorption spectrometry after partial digestion with HClO4-HNO3-HCl,HClO4-HNO3-HCl,7,unknown
AA_F_AR_P,Major and minor elements by flame atomic absorption spectrometry after partial digestion with hot aqua regia,aqua regia,11549,Knaebel_1970
AA_F_AZ_H2O2_P,"Silver, arsenic, cadmium,  and zinc by flame atomic absorption spectrometry after partial digestion with HCl-H2O2-KI, ascorbic acid and selective organic extraction with MIBK",HCl-H2O2,33,O'Leary_1986_2
AA_F_CA_P,Copper by flame atomic absorption spectrometry after leaching with citric acid,citric acid leach,215,ALS_2015_07
AA_F_CN_P,Gold and copper by flame atomic absorption spectrometry after leaching with cyanide,cyanide leach,3009,ALS_2015_06
AA_F_Fuse,Major and minor elements by flame atomic absorption spectrometry after LiBO2/Li2B4O7 fusion digestion,LiBO2/Li2B4O7 fusion,27,Baedecker_1987_1
AA_F_Fuse_P,"Bismuth, molybdenum and antimony by flame atomic absorption spectrometry after K2S2O7 fusion, partial acid digestion, and selective organic extraction with MIBK",K2S2O7 fusion and acid,841,O'Leary_1986_1m
AA_F_H2SO4_P,Copper by flame atomic absorption spectrometry after partial digestion with H2SO4,H2SO4,2792,ALS_2015_07
AA_F_HBr,Gold and tellurium by flame atomic absorption spectrometry after HBr-Br2 digestion and selective organic extraction with MIBK,HBr-Br2,984,O'Leary_1996_1
AA_F_HCl_P,Antimony by flame atomic absorption spectrometry after partial digestion with HCl and selective organic extraction with TOPO/MIBK,HCl,16,O'Leary_1986_1a
AA_F_HF,"Major, minor and trace elements by flame atomic absorption spectrometry after multi-acid digestion with HF",multi-acid with HF,4689,Aruscavage_1987
AA_F_HNO3_P,"Silver, bismuth, cadmium, copper, lead and zinc by flame atomic absorption spectrometry after partial digestion with hot HNO3",hot HNO3,876,O'Leary_1986_1f
AA_F_KClO3_P,Antimony by flame atomic absorption spectrometry after partial digestion with KClO3,KClO3,95,O'Leary_1986_1d
AA_FE,Sodium and potassium by flame emission spectroscopy (flame photometry) after HF-HClO4 dissolution or LiBO2 fusion,HF-HClO4 or LiBO2 fusion,5,Fries_2002
AA_GF_AR_P,Gold by graphite furnace atomic absorption spectrometry after partial digestion with hot aqua regia,aqua regia,202,unknown
AA_GF_HBr,Gold and tellurium by graphite furnace atomic absorption spectrometry after HBr-Br2 digestion and selective organic extraction with MIBK,HBr-Br2,2075,O'Leary_1996_1
AA_GF_HF,"Gold, antimony, selenium and tellurium by graphite furnace atomic absorption spectrometry after multi-acid digestion with HF and selective organic extraction with MIBK",multi-acid with HF,785,Doughten_1993
AA_GF_ST,"Thallium by graphite furnace atomic absorption spectrometry after Na2O2 sinter, HCl-HNO3 dissolution, and selective organic extraction with DIBK",Na2O2 sinter and HCl-HNO3,66,SGS_2007_14
AA_HG_Acid,Arsenic and selenium by flow injection or continuous flow hydride generation-atomic absorption spectrometry after digestion with HNO3-HCl-H2SO4-KMnO4,HNO3-HCl-H2SO4-KMnO4,1309,AGAT_2017_06
AA_HG_AR,Arsenic and antimony by flow injection or continuous flow hydride generation-atomic absorption spectrometry after digestion with aqua regia,aqua regia,477,ALS_2015_04
AA_HG_HF,"Arsenic, selenium and tellurium by flow injection or continuous flow hydride generation-atomic absorption spectrometry after multi-acid digestion with HF",multi-acid with HF,691,Hageman_2002_1
AA_HG_ST,Arsenic and antimony by flow injection or continuous flow hydride generation-atomic absorption spectrometry after Na2O2 sinter digestion,Na2O2 sinter,62,AGAT_2017_05
AA_TR,Mercury by thermal release and atomic absorption spectrometry after heating and KBr-H2SO4 digestion (Vaughn-McCarthy method),combustion or vaporize,959,Hinkle_1975
AES_AR_P,"Major, minor and trace elements by inductively coupled plasma-atomic emission spectrometry after partial digestion with hot aqua regia",aqua regia,22273,Church_1981
