PARAMETER,PARAMETER_DESC,PARAMETER_COUNT,ANALYTIC_METHOD
Ag_ppm_AA_F_AR_P,"Silver, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with aqua regia",2430,AA_F_AR_P
Ag_ppm_AA_F_AZ_H2O2_P,"Silver, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with HCl-H2O2 and MIBK",1,AA_F_AZ_H2O2_P
Ag_ppm_AA_F_HF,"Silver, in parts per million, by flame-atomic absorption spectrophotometry after multi-acid digestion with HF",52,AA_F_HF
Ag_ppm_AA_F_HNO3_P,"Silver, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with hot HNO3",3,AA_F_HNO3_P
Ag_ppm_AES_AR_P,"Silver, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",1124,AES_AR_P
Ag_ppm_AES_AZ_P,"Silver, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with H2O2-HCl leach and DIBK extract",442,AES_AZ_P
Ag_ppm_AES_Fuse,"Silver, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",8,AES_Fuse
Ag_ppm_AES_HF,"Silver, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",8851,AES_HF
Ag_ppm_DCP_AR_P,"Silver, in parts per million, by direct current plasma-atomic emission spectroscopy after partial digestion with aqua regia",82,DCP_AR_P
Ag_ppm_EPMA,"Silver, in parts per million, by electron probe microanalysis",337,EPMA
Ag_ppm_ES_SQ,"Silver, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1502,ES_SQ
Ag_ppm_FA_AA,"Silver, in parts per million, by PbO fire assay and flame-atomic absorption spectrophotometry",443,FA_AA
Ag_ppm_LAMS,"Silver, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",396,LAMS
Ag_ppm_MS_AR_P,"Silver, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",129,MS_AR_P
Ag_ppm_MS_AR_UT_P,"Silver, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",78,MS_AR_UT_P
Ag_ppm_MS_Fuse,"Silver, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",212,MS_Fuse
Ag_ppm_MS_HF,"Silver, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",10337,MS_HF
Ag_ppm_MS_HF_UT,"Silver, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
Ag_ppm_MS_ST,"Silver, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",367,MS_ST
Ag_ppm_NA_LC,"Silver, in parts per million, by long count instrumental neutron activation",174,NA_LC
Ag_ppm_WDX_PP,"Silver, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",13,WDX_PP
Al_pct_AES_AR_P,"Aluminum, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",287,AES_AR_P
Al_pct_AES_Fuse,"Aluminum, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",797,AES_Fuse
Al_pct_AES_HF,"Aluminum, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",19268,AES_HF
Al_pct_AES_HF_UT,"Aluminum, in weight percent, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
Al_pct_AES_ST,"Aluminum, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",383,AES_ST
Al_pct_DCP_Fuse,"Aluminum, in weight percent, by direct current plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",109,DCP_Fuse
Al_pct_EPMA,"Aluminum, in weight percent, by electron probe microanalysis",487,EPMA
Al_pct_ES_SQ,"Aluminum, in weight percent, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",118,ES_SQ
Al_pct_LAMS,"Aluminum, in weight percent, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",621,LAMS
Al_pct_MS_AR_P,"Aluminum, in weight percent, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",62,MS_AR_P
Al_pct_MS_HF,"Aluminum, in weight percent, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",49,MS_HF
Al_pct_WDX_Fuse,"Aluminum, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",1685,WDX_Fuse
Al_pct_WDX_PP,"Aluminum, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",106,WDX_PP
As_ppm_AA_F_AR_P,"Arsenic, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with aqua regia",171,AA_F_AR_P
As_ppm_AA_F_AZ_H2O2_P,"Arsenic, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with HCl-H2O2 and MIBK",14,AA_F_AZ_H2O2_P
As_ppm_AA_F_HF,"Arsenic, in parts per million, by flame-atomic absorption spectrophotometry after multi-acid digestion with HF",266,AA_F_HF
As_ppm_AA_HG_Acid,"Arsenic, in parts per million, by hydride generation-atomic absorption spectrophotometry after HNO3-H2SO4-HClO4 digestion",446,AA_HG_Acid
As_ppm_AA_HG_AR,"Arsenic, in parts per million, by hydride generation-atomic absorption spectrophotometry after aqua regia digestion",101,AA_HG_AR
As_ppm_AA_HG_HF,"Arsenic, in parts per million, by hydride generation-atomic absorption spectrophotometry after multi-acid digestion with HF",164,AA_HG_HF
As_ppm_AA_HG_ST,"Arsenic, in parts per million, by hydride generation-atomic absorption spectrophotometry after sinter digestion",31,AA_HG_ST
As_ppm_AES_AR_P,"Arsenic, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",1501,AES_AR_P
