REF_SHORT_NAME,REF_SUBMITTER,REF_LINK,REF_STATE,REF_LOCALE,REF_SAMPLES,REF_NGDB,REF_SYSTEM,REF_DEPOSIT_TYPE,REF_CITATION,REF_DATE_PUBL,REF_TITLE,REF_AUTHORS
ACM_2020,"Wintzer, Niki E.",,Idaho,"CuMo deposit, Boise Co.",10938,NO,Porphry Cu-Mo-Au,Porphyry Cu-Mo,"Wintzer, Niki E., unpublished industry data provided by Shaun Dykes, American CuMo Mining Corporation.",,,
Anderson_2017,"Andersen, Allen K.",https://doi.org/10.1016/j.oregeoref.2017.06.025,Wyoming,"Bear Lodge alkaline complex, Crook Co.",25,NO,Magmatic REE,Carbonatite,"Anderson, Allen K., Clark, James G., Larson, Peter B., and Donovan, John J., 2017, REE fractionation, mineral speciation, and supergene enrichment of the Bear Lodge carbonatites, Wyoming, USA: Ore Geology Reviews, vol. 89, pp. 780-807, accessed May 21, 2021 at https://doi.org/10.1016/j.oregeorev.2017.06.025.",2017,"REE fractionation, mineral speciation, and supergene enrichment of the Bear Lodge carbonatites, Wyoming, USA","Anderson, Allen K., Clark, James G., Larson, Peter B., and Donovan, John J."
Ashley_1991,"Hofstra, Albert H.",https://doi.org/10.3133/ofr91614,Nevada,"Goldfield mining district, Esmeralda Co.",140,NO,Porphyry Cu-Mo-Au,High sulfidation Au-Ag,"Ashley, Roger P., and Snow, Geoffrey G., 1991, Geochemical data for gold-bearing rocks from the Goldfield mining district, Nevada: U.S. Geological Survey Open-File Report 91-614, 19 p., accessed May 21, 2021 at https://doi.org/10.3133/ofr91614.",1991,"Geochemical data for gold-bearing rocks from the Goldfield mining district, Nevada","Ashley, Roger P., and Snow, Geoffrey G."
Bakken_1990,"Hofstra, Albert H.",https://searchworks.stanford.edu/view/1365831,Nevada,"Main orebody, Carlin mine, Eureka Co.",82,NO,Carlin-type,Au,"Bakken, Barbara M., 1990, Gold Mineralization, wall-rock alteration, and the geochemical evolution of the hydrothermal system in the main orebody, Carlin mine, Nevada: Palo Alto, Stanford University, Ph.D dissertation, 236 p., accessed May 21, 2021 at https://searchworks.stanford.edu/view/1365831.",1990,"Gold Mineralization, wall-rock alteration, and the geochemical evolution of the hydrothermal system in the main orebody, Carlin mine, Nevada","Bakken, Barbara M."
Balogh_2016,"Vikre, Peter",https://data.nbmg.unr.edu/public/CREG/StudentTheses/Balogh_PattersonMiningDistrict_Final_MS2016.pdf,California-Nevada,"Patterson mining district, Lyon Co. and Mono Co.",72,NO,Alkalic porphyry,Low sulfidation Au-Ag,"Balogh, Carli H., 2016, Tertiary Volcanic Rocks, Hydrothermal Alteration, and Epithermal Precious Metal Deposits of the Patterson Mining District, Sweetwater Mountains, Mono County, California and Lyon County, Nevada: Reno, University of Nevada, M.S. thesis, 135 p., accessed May 21, 2021 at https://data.nbmg.unr.edu/public/CREG/StudentTheses/Balogh_PattersonMiningDistrict_Final_MS2016.pdf.",2016,"Tertiary Volcanic Rocks, Hydrothermal Alteration, and Epithermal Precious Metal
Deposits of the Patterson Mining District, Sweetwater Mountains, Mono County,
California and Lyon County, Nevada",Balogh_2016
Bergbower_2015,"Hofstra, Albert H.",,Illinois-Kentucky,Illinois-Kentucky fluorspar district,697,NO,Hybrid magmatic REE / basin brine path,Fluorspar,"Bergbower, Joshua N., 2015, Trace and rare earth element chemistry of fluorite from the Illinois-Kentucky Fluorspar District and its implications for the origins of mineralizing fluids: University of Cincinnati, Masters dissertation, 90 p.",2015,Trace and rare earth element chemistry of fluorite from the Illinois-Kentucky Fluorspar District and its implications for the origins of mineralizing fluids,"Bergbower, Joshua N."
Berry_1992,"Hofstra, Albert H.",http://www.nbmg.unr.edu/Maps&Data/NVGeologyTheses.html,Nevada,"Betze gold deposit, Eureka Co.",364,NO,Carlin-type,Au,"Berry, Alan R., 1992, A geological study of the Betze gold deposit, Eureka County, Nevada: Reno, University of Nevada, Reno, Masters dissertation, 173 p., accessed May 21, 2021, at http://www.nbmg.unr.edu/Maps&Data/NVGeologyTheses.html.",1992,"A geological study of the Betze gold deposit, Eureka County, Nevada: University of Nevada","Berry, Alan R."
Cail_1999,"Hofstra, Albert H.",,Nevada,"Getchell Carlin-type gold deposit, north-central Nevada",58,NO,Carlin-type,Au,"Cail, Tracy P., 1999, Alteration associated with gold deposition at the Getchell Carlin-type gold deposit, north-central Nevada: Las Vegas, University of Nevada, Las Vegas, Masters dissertation, 183 p.",1999,"Alteration associated with gold deposition at the Getchell Carlin-type gold deposit, north-central Nevada","Cail, Tracy P."
Cassinerio_2010,"Hofstra, Albert H.",https://scholarworks.unr.edu/handle/11714/4333,Nevada,"Turquoise Ridge deposit, Getchell district",171,NO,Carlin-type,Au,"Cassinerio, Michael D., 2010, Patterns of Lithology, Structure, Alteration, Trace Elements, Carbonate Mineralogy, and Stable Isotopes around High-Grade Carlin-type Gold Deposits: Turquoise Ridge Deposit, Getchell District, Nevada: Reno, University of Nevada, M.S. thesis, 230 p., accessed May 21, 2021 at https://scholarworks.unr.edu/handle/11714/4333.",2010,"Patterns of Lithology, Structure, Alteration, Trace Elements, Carbonate Mineralogy, and Stable Isotopes around High-Grade Carlin-type Gold Deposits: Turquoise Ridge Deposit, Getchell District, Nevada","Cassinerio, Michael D."
Castor_2020,"Hofstra, Albert H.",https://doi.org/10.3390/min10010068,Nevada,McDermitt caldera,21,NO,Lacustrine evaporite,Li-clay,"Castor, Stephen B., and Henry, Christopher D., 2020, Lithium-Rich Claystone in the McDermitt Caldera, Nevada, USA: Geologic, Mineralogical, and Geochemical Characteristics and Possible Origin: Minerals, vol. 10, no. 68, 38 p., accessed May 21, 2021 at https://doi.org/10.3390/min10010068.",2020,"Lithium-Rich Claystone in the McDermitt Caldera, Nevada, USA: Geologic, Mineralogical, and Geochemical Characteristics and Possible Origin","Castor, Stephen B., and Henry, Christopher D."
